"date","open","high","low","close","volume","exchange","M20","M5"
2022-01-14,0.7683,0.790625,0.75185,0.7736,25424412.841125,"XRP/USD",0.81074125,0.77037
2022-01-15,0.7736,0.789975,0.76815,0.7796,15852652.532675,"XRP/USD",0.80369125,0.778245
2022-01-16,0.7796,0.784625,0.76825,0.77875,10398351.7828,"XRP/USD",0.79626625,0.77986
2022-01-17,0.77875,0.780575,0.75025,0.76195,22387196.63875,"XRP/USD",0.7917725,0.77244
2022-01-18,0.76195,0.769025,0.735525,0.751025,20797486.65425,"XRP/USD",0.78846,0.768985
2022-01-19,0.751025,0.75345,0.723525,0.7381,24583640.20635,"XRP/USD",0.78344,0.761885
2022-01-20,0.7381,0.762275,0.716025,0.71985,31761922.459975,"XRP/USD",0.777935,0.749935
2022-01-21,0.719775,0.729125,0.6118,0.6365,48069016.840375,"XRP/USD",0.767225,0.721485
2022-01-22,0.6365,0.65365,0.549675,0.596975,57950586.158325,"XRP/USD",0.7541425,0.68849
2022-01-23,0.596975,0.63545,0.590075,0.628875,19216861.9282,"XRP/USD",0.74395125,0.66406
2022-01-24,0.628875,0.629025,0.5521,0.612625,26412513.06725,"XRP/USD",0.73344875,0.638965
2022-01-25,0.612625,0.62485,0.58715,0.617825,22691568.14215,"XRP/USD",0.72574,0.61856
2022-01-26,0.617825,0.658825,0.6051,0.61955,31556186.89645,"XRP/USD",0.7177625,0.61517
2022-01-27,0.61955,0.624825,0.58925,0.60875,18201746.657075,"XRP/USD",0.7100275,0.617525
2022-01-28,0.60875,0.614175,0.591825,0.6115,22461471.745875,"XRP/USD",0.70333875,0.61405
2022-01-29,0.6115,0.6263,0.6088,0.61765,10695677.972775,"XRP/USD",0.69656875,0.615055
2022-01-30,0.61765,0.62375,0.5976,0.601875,9163924.693525,"XRP/USD",0.68965125,0.611865
2022-01-31,0.601875,0.62495,0.5803,0.617625,20736918.10505,"XRP/USD",0.68199875,0.61148
2022-02-01,0.617625,0.6309,0.6115,0.628725,13151308.250575,"XRP/USD",0.6734825,0.615475
2022-02-02,0.628725,0.6318,0.595725,0.601075,18908609.1041,"XRP/USD",0.66512125,0.61339
2022-02-03,0.600825,0.61105,0.589,0.6103,17692486.905975,"XRP/USD",0.65695625,0.61192
2022-02-04,0.6103,0.6592,0.604425,0.656125,30470397.398625,"XRP/USD",0.6507825,0.62277
2022-02-05,0.656125,0.68745,0.650725,0.6661,20258339.236625,"XRP/USD",0.64515,0.632465
2022-02-06,0.6661,0.688075,0.6594,0.683175,11712111.990525,"XRP/USD",0.64121125,0.643355
2022-02-07,0.683175,0.839825,0.671825,0.8325,78550458.7347,"XRP/USD",0.645285,0.68964
2022-02-08,0.831675,0.915125,0.80415,0.8772,83137343.61015,"XRP/USD",0.65224,0.74302
2022-02-09,0.8772,0.918425,0.84425,0.8707,53004172.9244,"XRP/USD",0.6597825,0.785935
2022-02-10,0.8707,0.89825,0.821975,0.825375,41008946.74595,"XRP/USD",0.66922625,0.81779
2022-02-11,0.825375,0.834325,0.7506,0.75955,31896036.578425,"XRP/USD",0.677355,0.833065
2022-02-12,0.75955,0.8525,0.747375,0.82285,29700410.116,"XRP/USD",0.68705375,0.831135
2022-02-13,0.82285,0.847975,0.79275,0.805925,19573901.155025,"XRP/USD",0.69671875,0.81688
2022-02-14,0.805925,0.813275,0.780025,0.8012,31962856.7238,"XRP/USD",0.7058875,0.80298
2022-02-15,0.8012,0.861,0.7967,0.85215,29652946.4778,"XRP/USD",0.7175175,0.808335
2022-02-16,0.85215,0.8536,0.809125,0.837225,29425939.306475,"XRP/USD",0.72894125,0.82387
2022-02-17,0.8372,0.8453,0.753975,0.768,33895627.024025,"XRP/USD",0.73676625,0.8129
2022-02-18,0.768,0.80515,0.75635,0.784575,31968078.8622,"XRP/USD",0.7451125,0.80863
2022-02-19,0.784575,0.854225,0.7705,0.82195,30564982.81455,"XRP/USD",0.75611625,0.81278
2022-02-20,0.82195,0.8233,0.7657,0.776925,26816566.974875,"XRP/USD",0.76408125,0.797735
2022-02-21,0.776925,0.801875,0.695925,0.702225,34258636.15785,"XRP/USD",0.76775625,0.770735
2022-02-22,0.702225,0.72865,0.67,0.7215,40394066.08615,"XRP/USD",0.7737775,0.761435
2022-02-23,0.7215,0.743975,0.692575,0.6968,34362103.417675,"XRP/USD",0.7781025,0.74388
2022-02-24,0.696825,0.722325,0.622,0.696425,45992677.384,"XRP/USD",0.7801175,0.718775
2022-02-25,0.696425,0.78115,0.682875,0.770325,29878985.834825,"XRP/USD",0.78532875,0.717455
2022-02-26,0.770325,0.799975,0.740975,0.7514,27587407.30035,"XRP/USD",0.78874,0.72729
